# Japanese readings, used by JapaneseSearchKeys to match a kanji label against a
# query typed in kana or in latin script. Generated, do not edit by hand; see
# tools/generate-japanese-readings.py.
#
# Derived from JMdict by the Electronic Dictionary Research and Development
# Group, used under the Creative Commons Attribution-ShareAlike 4.0 license.
# https://www.edrdg.org/edrdg/licence.html
#
# One entry per line, tab separated: the written form followed by its readings.
# Sorted by the written form so that the file can be binary searched in place.
一辺倒	イッペントウ
一途	イチズ
一通	イッツウ
一通リ	ヒトトオリ
一連	イチレン
一週	イッシュウ
一週間	イッシュウカン
一進一退	イッシンイッタイ
一遍	イッペン
一遍ニ	イッペンニ
一過	イッカ
一部	イチブ
一部分	イチブブン
一部始終	イチブシジュウ
一酸化炭素	イッサンカタンソ
一里塚	イチリヅカ
一重	ヒトエ
一長一短	イッチョウイッタン
一門	イチモン
一陣	イチジン
一隅	イチグウ	ヒトスミ
一階	イッカイ
一面	イチメン
一顧	イッコ
一風	イップウ
一飛	イチヒ
一首	イッシュ
一騎打チ	イッキウチ
丁寧	テイネイ
丁度	チョウド
丁目	チョウメ
丁重	テイチョウ
七ツ	ナナツ
七七日	シチシチニチ	ナナナヌカ
七三	シチサン
七不思議	ナナフシギ
七五三	シチゴサン
七十	ナナジュウ	シチジュウ
七回忌	シチカイキ
七夕	タナバタ	シチセキ
七宝	シッポウ	シチホウ
七日	ナノカ	ナヌカ
七時	シチジ
七月	シチガツ	ナナガツ
七福神	シチフクジン
七色	ナナイロ	シチショク
七草	ナナクサ
七面鳥	シチメンチョウ
万ガ一	マンガイチ	マンガイツ
万一	マンイチ	バンイチ
万世	バンセイ
万事	バンジ
万人	バンニン	バンジン
万全	バンゼン
万国	バンコク
万年	マンネン	ヨロズトセ
万年筆	マンネンヒツ	マンネンピツ
万引	マンビキ
万引キ	マンビキ
万感	バンカン
万有引力	バンユウインリョク
万歳	バンザイ
万物	バンブツ	バンモツ
万端	バンタン
万策	バンサク
万能	バンノウ	マンノウ
万華鏡	マンゲキョウ	バンカキョウ
万里	バンリ
丈夫	ジョウブ
三々五々	サンサンゴゴ
三ガ日	サンガニチ
三ツ	ミッツ	ミツ
三ツ折リ	ミツオリ
三人	サンニン	ミタリ
三代	サンダイ
三位一体	サンミイッタイ
三佐	サンサ
三体	サンタイ
三冠王	サンカンオウ
三冠馬	サンカンバ
三十	サンジュウ	ミソ
三十一日	サンジュウイチニチ
三十八度線	サンジュウハチドセン
三十日	サンジュウニチ	ミソカ
三千	サンゼン
三味線	シャミセン	サミセン
三回	サンカイ
三回忌	サンカイキ
三塁	サンルイ
三塁手	サンルイシュ
三塁打	サンルイダ
三女	サンジョ
三宝	サンボウ	サンポウ
三尺	サンジャク
三年	サンネン
三度	サンド
三弦	サンゲン
三役	サンヤク
三拍子	サンビョウシ
三振	サンシン
三文	サンモン
三方	サンボウ	サンポウ
三日	ミッカ
三日月	ミカヅキ	ミカズキ
三春	サンシュン
三昧	サンマイ	ザンマイ
三時	サンジ
三曲	サンキョク
三月	サンガツ
三本	サンボン
三枚	サンマイ
三枚目	サンマイメ
三校	サンコウ
三権	サンケン
三次	サンジ
三次元	サンジゲン
三段目	サンダンメ
三段跳ビ	サンダントビ
三流	サンリュウ
三男	サンナン
三百	サンビャク
三省	サンセイ
三種	サンシュ
三者	サンシャ
三脚	サンキャク
三色	サンショク
三角	サンカク
三角形	サンカクケイ	サンカッケイ
三角関係	サンカクカンケイ
三軍	サングン
三輪	サンリン
三輪車	サンリンシャ
三選	サンセン
三部	サンブ
三部作	サンブサク
三重奏	サンジュウソウ
三重殺	サンジュウサツ
三面	サンメン
三食	サンショク
上々	ジョウジョウ
上ガッタリ	アガッタリ
上ガリ	アガリ
上ガル	アガル
上ゲ	アゲ
上ゲル	アゲル
上ゲ下ゲ	アゲサゲ
上ゲ下ロシ	アゲオロシ
上ゲ潮	アゲシオ
上セル	ノボセル
上ッ調子	ウワッチョウシ
上リ	ノボリ
上リ下リ	ノボリクダリ	ノボリオリ
上リ列車	ノボリレッシャ
上リ坂	ノボリザカ
上リ詰メル	ノボリツメル
上リ調子	ノボリチョウシ	ノボリヂョウシ
上ル	ノボル
上下	ウエシタ	ジョウゲ
上下動	ジョウゲドウ
上乗セ	ウワノセ
上京	ジョウキョウ
上人	ショウニン
上代	ジョウダイ	ウワダイ
上伸	ジョウシン
上位	ジョウイ
上体	ジョウタイ
上値	ウワネ
上出来	ジョウデキ
上半期	カミハンキ
上半身	ジョウハンシン	カミハンシン
上司	ジョウシ
上向キ	ウワムキ	ウエムキ
上向ク	ウワムク	ウエムク
上告	ジョウコク
上告審	ジョウコクシン
上品	ジョウヒン
上唇	ウワクチビル	ジョウシン
上回ル	ウワマワル	ウワマル
上場	ジョウジョウ
上官	ジョウカン
上層	ジョウソウ
上席	ジョウセキ
上座	カミザ	ジョウザ
上役	ウワヤク
上意	ジョウイ
上手	ジョウズ	ジョウテ
上手イ	ウマイ
上手投ゲ	ウワテナゲ
上方	ジョウホウ
上旬	ジョウジュン
上昇	ジョウショウ
上昇気流	ジョウショウキリュウ
上映	ジョウエイ
上期	カミキ
上棟	ジョウトウ
上機嫌	ジョウキゲン
上段	ジョウダン
上気	ジョウキ
上水	ジョウスイ
上流	ジョウリュウ
上海	シャンハイ
上滑リ	ウワスベリ
上演	ジョウエン
上田	ジョウデン
上申	ジョウシン
上皇	ジョウコウ
上皮	ウワカワ	ジョウヒ
上着	ウワギ	ジョウイ
上程	ジョウテイ
上積ミ	ウワヅミ
上空	ジョウクウ
上端	ジョウタン
上等	ジョウトウ
上等兵	ジョウトウヘイ
上納	ジョウノウ
上級	ジョウキュウ
上背	ウワゼイ
上記	ジョウキ
上質	ジョウシツ
上越	ジョウエツ
上辺	ウワベ
上達	ジョウタツ
上部	ジョウブ
上限	ジョウゲン
上院	ジョウイン
上陸	ジョウリク
下ガリ	サガリ
下ガル	サガル
下ゲル	サゲル
下ゲ足	サゲアシ
下サイ	クダサイ
下サル	クダサル
下シ	クダシ
下ス	クダス
下ッ腹	シタッパラ
下ラナイ	クダラナイ	クッダラナイ
下リ	クダリ
下リル	オリル
下リ列車	クダリレッシャ
下リ坂	クダリザカ
下ル	クダル
下ロス	オロス
下位	カイ
下値	シタネ
下側	シタガワ
下働キ	シタバタラキ
下克上	ゲコクジョウ
下半期	シモハンキ	カハンキ
下半身	カハンシン	シモハンシン
下取リ	シタドリ
下向キ	シタムキ
下味	シタアジ
下品	ゲヒン
下唇	シタクチビル	カシン
下回リ	シタマワリ
下回ル	シタマワル
下地	シタジ
下士官	カシカン
下宿	ゲシュク
下層	カソウ
下山	ゲザン	ゲサン
下座	ゲザ
下心	シタゴコロ
下戸	ゲコ
下手	シタテ	シタデ
下手クソ	ヘタクソ
下手投ゲ	シタテナゲ
下敷	シタジキ
下敷キ	シタジキ
下方	カホウ
下旬	ゲジュン
下書キ	シタガキ
下期	シモキ
下校	ゲコウ
下段	ゲダン	カダン
下水	ゲスイ
下水道	ゲスイドウ
下流	カリュウ
下準備	シタジュンビ
下火	シタビ
下田	ゲデン
下町	シタマチ
下界	ゲカイ
下痢	ゲリ
下着	シタギ
下積ミ	シタヅミ
下等	カトウ
下級	カキュウ
下絵	シタエ
下肢	カシ
下腹部	カフクブ
下草	シタクサ	シタグサ
下落	ゲラク
下見	シタミ
下記	カキ
下調ベ	シタシラベ
下請ケ	シタウケ
下請ケ業者	シタウケギョウシャ
下車	ゲシャ
下部	カブ
下野	ゲヤ
下降	カコウ
下限	カゲン
下院	カイン
下馬	ゲバ
下馬評	ゲバヒョウ
下駄	ゲタ
不世出	フセイシュツ
不人気	フニンキ
不仲	フナカ
不似合イ	フニアイ
不作	フサク
不作法	ブサホウ
不作為	フサクイ
不便	フベン
不信	フシン
不信任	フシンニン
不倫	フリン
不偏不党	フヘンフトウ
不健全	フケンゼン
不健康	フケンコウ
不備	フビ
不充分	フジュウブン
不全	フゼン
不公平	フコウヘイ
不出来	フデキ
不利	フリ
不利益	フリエキ
不動	フドウ
不動産	フドウサン
不動産屋	フドウサンヤ
不十分	フジュウブン
不協和音	フキョウワオン
不可	フカ
不可侵	フカシン
不可分	フカブン
不可思議	フカシギ
不可抗力	フカコウリョク
不可欠	フカケツ
不可能	フカノウ
不可解	フカカイ
不可避	フカヒ
不合格	フゴウカク
不合理	フゴウリ
不吉	フキツ
